RxDevice,FileId,TxDevice,StartTime,Endtime,Value
41,4321797,41,292769753771727,292769754001704,0
45,4325201,45,292725195070810,292725195070810,1
60,4333968,60,292804652813682,292804659813606,8
60,4333968,60,292804659913673,292804692313506,0
60,4333968,60,292804692413508,292804695813496,8
62,4337507,62,292723662699827,292723718499979,5
62,4337507,62,292723718600060,292723724400064,1
62,4337507,62,292723724501034,292723729399896,5
62,4337507,62,292723729499906,292723732900968,1
62,4337507,62,292723733000947,292723745000977,5
41,4321800,41,292799688664580,292799688664580,0
61,4335918,61,292801324005549,292801338005587,8
61,4335918,61,292801338105650,292801381756685,0
61,4335918,61,292801381806703,292801405708991,8
62,4337509,62,292736308884856,292736323584812,5
62,4337509,62,292736323684900,292736342584969,1
87,4377910,87,292780035494795,292780047147679,1
62,4337509,62,292736342686049,292736376384841,3
83,4374531,83,292797378160908,292797826391956,1
